DEBUG 2024-09-28 01:52:51,301 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\django\contrib\admin\models.py first seen with mtime 1727419939.2566562
DEBUG 2024-09-28 01:52:51,301 autoreload File C:\Users\Jairuddin\AppData\Local\Programs\Python\Python311\Lib\importlib\metadata\_itertools.py first seen with mtime 1686097818.0
DEBUG 2024-09-28 01:52:51,302 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\django\db\models\constants.py first seen with mtime 1727419941.7806554
DEBUG 2024-09-28 01:52:51,303 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\django\urls\resolvers.py first seen with mtime 1727419942.043657
DEBUG 2024-09-28 01:52:51,304 autoreload File C:\Users\Jairuddin\AppData\Local\Programs\Python\Python311\Lib\unittest\loader.py first seen with mtime 1686097818.0
DEBUG 2024-09-28 01:52:51,304 autoreload File E:\New folder (2)\Inventory Management System\Inventory_System_management\inventron\admin.py first seen with mtime 1727444808.61389
DEBUG 2024-09-28 01:52:51,305 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\django\templatetags\static.py first seen with mtime 1727419942.0336597
DEBUG 2024-09-28 01:52:51,306 autoreload File C:\Users\Jairuddin\AppData\Local\Programs\Python\Python311\Lib\email\charset.py first seen with mtime 1686097818.0
DEBUG 2024-09-28 01:52:51,307 autoreload File C:\Users\Jairuddin\AppData\Local\Programs\Python\Python311\Lib\asyncio\log.py first seen with mtime 1686097818.0
DEBUG 2024-09-28 01:52:51,307 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\django\core\files\uploadhandler.py first seen with mtime 1727419941.5936563
DEBUG 2024-09-28 01:52:51,308 autoreload File C:\Users\Jairuddin\AppData\Local\Programs\Python\Python311\Lib\importlib\resources\_legacy.py first seen with mtime 1686097818.0
DEBUG 2024-09-28 01:52:51,309 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\django\db\utils.py first seen with mtime 1727419941.6686642
DEBUG 2024-09-28 01:52:51,310 autoreload File C:\Users\Jairuddin\AppData\Local\Programs\Python\Python311\Lib\xml\__init__.py first seen with mtime 1686097818.0
